instruction,input,output
"주식회사를 설립하기 위해 친구에게 발기인으로 참여하여 투자해줄 것을 부탁했는데요, 친구가 여유자금이 충분하지 않아서 출자금 대신에 자신의 소유로 되어 있는 작은 건물을 제공하겠다고 합니다. 그런데 이런 것도 정관에 기재해야 하나요?","사업, 협동조합 설립·운영","출자금 대신에 건물로 현물출자를 하려는 경우에는 변태설립사항에 해당하여 “현물출자 하는 자의 성명과 그 목적인 재산의 종류, 수량, 가격과 이에 대하여 부여할 주식의 종류와 수”를 정관에 기재해야 효력이 발생합니다. ◇ 변태설립사항의 정관기재 ☞ “변태설립사항”이란 설립 당시에 발기인에 의해 남용되어 자본충실을 해칠 우려가 있는 사항으로서, 회사 정관에 반드시 기재해야 하는 사항은 아니지만 정관에 기재해야만 효력이 인정되는 사항을 말합니다. ☞ 변태설립사항에는 4가지가 있는데, ① 발기인이 받을 특별이익과 이를 받을 자의 성명, ② 현물출자를 하는 사람의 성명과 그 목적인 재산의 종류, 수량, 가격과 이에 대해 부여할 주식의 종류와 수, ③ 회사성립 후에 양수할 것을 약정한 재산의 종류, 수량, 가격과 그 양도인의 성명, ④ 회사가 부담할 설립비용과 발기인이 받을 보수액입니다. ※ “현물출자”란 금전 이외의 재산으로써 하는 출자를 말합니다[(예) 토지나 건물과 같은 부동산, 유가증권 등의 동산, 그 밖에 특허권 지상권 등의 무형자산에 의한 출자]. ☞ 따라서 현물출자를 하려는 경우에는 “현물출자 하는 자의 성명과 그 목적인 재산의 종류, 수량, 가격과 이에 대하여 부여할 주식의 종류와 수”를 정관에 기재해야 효력이 발생합니다. ☞ 현물출자를 하는 발기인은 납입기일에 지체 없이 출자의 목적인 재산을 인도하고 등기, 등록 그 밖의 권리의 설정 또는 이전을 요할 경우에는 이에 관한 서류를 완비하여 교부하여야 합니다."
"괜찮은 게임사업 아이디어가 있어서 대학 친구들과 함께 작은 게임회사를 창업하려고 생각 중입니다. 주식회사 형태로 창업을 생각 했었는데, 주변에서는 유한책임회사의 형태를 추천하네요. 유한책임회사는 주식회사와 어떤 차이점이 있나요?","사업, 협동조합 설립·운영","유한책임회사란 출자자인 사원이 직접 경영에 참여할 수 있는 반면, 각 사원은 자신이 출자한 투자액을 한도로 법적인 책임을 부담하는 형태의 회사를 말합니다. 유한책임회사는 청년 벤처 창업 등에 적합한 기업유형으로서, 기존의 주식회사 보다 좀 더 간편하고 편리하게 회사를 설립하고 운영하는데 유용한 회사형태입니다. ◇ 유한책임회사란? ☞ 유한책임회사는 공동기업이나 회사의 형태를 취하면서도 내부적으로는 사적자치가 폭넓게 인정되는 조합의 성격을 갖고, 외부적으로는 사원의 유한책임이 확보되는 기업 형태에 대한 수요를 충족하기 위해 「상법」에 새롭게 도입된 회사형태로서 고도의 기술을 보유하고 있지만, 초기 상용화에 어려움을 겪는 청년 벤처기업 등에 적합한 회사형태입니다. ☞ 유한책임회사는 기존의 주식회사나 유한회사 보다 좀 더 간편하고 편리하게 회사를 설립하고 운영하는데 유용한 회사제도입니다. ◇ 유한책임회사의 특징 ☞ 유한책임회사는 1인 이상의 유한책임사원으로 구성됩니다. 유한책임사원은 회사채권자에 대하여 출자금액을 한도로 간접 유한의 책임을 집니다. ☞ 유한책임회사는 업무집행자가 유한책임회사를 대표합니다. 따라서 정관에 사원 또는 사원이 아닌 자를 업무집행자로 정해 놓아야 하며, 정관 또는 총사원의 동의로 둘 이상의 업무집행자가 공동으로 회사를 대표할 것을 정할 수도 있습니다."
새로 개업한 호프집 광고를 하려고 하는데 전봇대나 가로등 기둥에 전단지 등을 붙여도 괜찮은가요?,"사업, 협동조합 설립·운영","전봇대, 가로등기둥, 가로수, 담장, 도로표지 등에는 광고물을 붙일 수 없습니다. ◇ 광고물 등의 표시가 금지되는 물건 ☞ 광고물 등의 표시가 금지되는 물건은 다음과 같습니다. 도로표지 교통안전표지 교통신호기 및 보도분리대 전봇대 가로등 기둥 가로수 동상 및 기념비 발전소 변전소 송신탑 송전탑 가스탱크 유류탱크 및 수도탱크 우편함 소화전 및 화재경보기 전망대 및 전망탑 담장(가설울타리는 제외) 재배 중인 농작물 도로교통안전과 주거 또는 생활 환경을 위한 시설물로서 특별시 광역시 특별자치시 도 또는 특별자치도의 조례로 정하는 물건 ◇ 위반 시 제재 ☞ 이를 위반하여 광고물 등을 표시하거나 설치한 자는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다."
"식당 앞 국도변에 식당 메뉴 안내 표지 입간판을 설치하려고 하는데요, 입간판을 설치하려면 옥외광고물 허가 또는 신고 외에 별도로 도로점용허가를 받아야 하나요?","사업, 협동조합 설립·운영","옥외광고물 설치허가 또는 신고와는 별도로 도로의 구역에서 옥외광고물의 설치를 위해 도로를 점용하려는 자는 지방국토관리청장의 허가를 받아야 하며, 점용료 산정기준에 따른 점용료를 지방국토관리청장에게 납부해야 합니다. ◇ 도로점용 허가신청 ☞ 공작물 물건, 그 밖의 시설을 신설 개축 변경 또는 제거하거나 그 밖의 사유로 도로(도로구역을 포함)를 점용하려는 자는 점용의 목적, 점용장소와 면적, 점용기간, 점용물의 구조, 공사의 방법, 공사의 시기, 도로의 복구방법 등의 사항을 적은 신청서를 도로관리청에 제출(전자문서를 통한 제출을 포함)함으로써 허가를 받아야 합니다. ◇ 점용료의 납부 ☞ 도로관리청은 도로점용허가를 받아 도로를 점용하는 자로부터 점용료를 징수할 수 있으며, 점용료의 산정기준은 「도로법 시행령」 별표 3 제6호에서 확인할 수 있습니다. ◇ 점용기간 만료 후 원상회복 의무 ☞ 도로점용허가를 받아 도로를 점용하는 자는 원상회복할 수 없거나 원상회복하는 것이 부적당한 경우를 제외하고는 도로점용허가 기간이 끝났거나 도로점용허가가 취소되면 도로를 원상회복해야 합니다. ◇ 위반 시 제재 ☞ 도로점용허가 없이 도로를 점용(물건 등을 도로에 일시 적치한 자는 제외)하면 2년 이하의 징역이나 2천만원 이하의 벌금에 처해집니다. ☞ 도로점용허가 면적을 초과해서 점용하거나 도로점용허가를 받지 않고 물건 등을 도로에 일시 적치하면 300만원 이하의 과태료가 부과됩니다."
"개인홈페이지 서비스를 제공하는 IT회사에 만화형태의 캐릭터를 제작하여 보급하는 사업을 하려고 하는 17세의 고등학생입니다. 친구들과 주식회사를 설립해서 사업을 시작해보려고 하는데요, 미성년자도 주식회사를 설립할 수 있나요? 그리고 주식회사는 어떻게 설립하는 건가요?","사업, 협동조합 설립·운영","주식회사를 설립하는 사람을 발기인이 하며, 법정대리인(친권자)의 동의만 있다면 미성년자도 발기인이 될 수 있습니다. 한편, 주식회사를 설립하려면 ① 발기인을 구성하여, ② 회사상호와 사업목적을 정하고 ③ 발기인이 정관을 작성한 다음 ④ 주식발행사항을 결정하고 ⑤ 발기설립 또는 모집설립의 과정을 거쳐 ⑥ 법인설립등기, 법인설립신고 및 사업자등록을 하면 됩니다. ◇ 주식회사의 개념 및 발기인의 자격요건 ☞ “주식회사”란 주식의 발행을 통해 여러 사람으로부터 자본금을 조달받고 설립된 회사를 말합니다. 주식을 매입하여 주주가 된 사원은 주식의 인수한도 내에서만 출자의무를 부담하고 회사의 채무에 대해서는 직접책임을 부담하지 하지 않습니다. ☞ 주식회사를 설립하는 사람을 발기인이라고 합니다. 발기인이 될 수 있는 자격조건에는 특별한 제한이 없습니다. 따라서 법인이나 미성년자도 주식회사의 발기인이 될 수 있습니다. 다만, 미성년자가 발기인으로서 회사를 설립하려면 법정대리인(친권자 또는 미성년후견인)의 동의가 있어야 합니다. ◇ 주식회사 설립절차 ☞ 주식회사를 설립하려면 우선 ① 발기인을 구성하여, ② 회사상호와 사업목적을 정한 다음, ③ 발기인이 정관을 작성합니다. 정관작성 후에는 ④ 주식발행사항을 결정하고 ⑤ 발기설립 또는 모집설립의 과정을 거쳐 ⑥ 법인설립등기, 법인설립신고 및 사업자등록을 하면 모든 설립행위가 완료됩니다."
"좋은 사업 아이템이 있어서 투자자를 모집하여 주식회사를 설립하려고 준비 중 입니다. 주식회사 설립방법 중에 모집설립과 발기설립이 있다고 하는데, 어떤 차이가 있으며, 투자자를 모집하여 설립하려면 어떤 방법으로 해야 하나요?","사업, 협동조합 설립·운영","주식회사의 설립방법에는 발기설립과 모집설립이 있습니다. 설립 시에 주식의 전부를 발기인만이 인수하여 설립하는 것을 발기설립이라 하고, 주식의 일부는 발기인이 우선인수하고 나머지 주식에 대해서는 주주를 모집하여 인수하게 하는 것을 모집설립이라 합니다. 따라서 투자자를 모집하여 설립하려면 모집설립의 방식으로 설립해야 합니다. ◇ 주식회사의 발기설립과 모집설립 ☞ 주식회사의 설립방법에는 ① 발기설립과 ② 모집설립이 있습니다. 발기설립이란 설립 시에 주식의 전부를 발기인만이 인수하여 설립하는 것을 말하고, 모집설립이란 설립 시에 주식의 일부를 발기인이 우선인수하고 주주를 모집하여 그 나머지를 인수하게 하는 설립방법을 말합니다. ☞ 발기설립과 모집설립은 다음의 차이가 있습니다. 발기설립 모집설립 기능 소규모 회사설립에 용이 대규모 자본 조달에 유리 주식의 인수 주식의 총수를 발기인이 인수 발기인과 모집주주가 함께 주식 인수 인수 방식 단순한 서면주의 법정기재사항이 있는 주식청약서에 의함 주식의 납입 발기인이 지정한 은행 그 밖의 금융기관에 납입 주식청약서에 기재한 은행 그 밖의 금융기관에 납입 납입의 해태 민법의 일반원칙에 따름 실권절차가 있음 창립총회 불필요 필요 기관구성 발기인의 의결권의 과반수로 선임 창립총회에 출석한 주식인수인의 의결권의 3분의 2이상이고 인수된 주식의 총수의 과반수에 해당하는 다수로 선임 설립경과조사 이사와 감사가 조사하여 발기인에게 보고 이사와 감사가 조사하여 창립총회에 보고 변태설립사항 이사가 법원에 검사인 선임 청구, 검사인은 조사하여 법원에 보고 발기인은 법원에 검사인 선임 청구, 검사인은 조사하여..."
"주식회사의 발기인입니다. 주식회사를 설립하기 위해 정관을 작성하려고 하는데요, 정관작성 항목 중에서 회사의 목적을 무엇이라고 기재해야 할지 잘 모르겠습니다. 주식회사의 목적은 그냥 대략적으로 기재하면 안 되나요?","사업, 협동조합 설립·운영","주식회사 설립시 반드시 작성해야 하는 정관기재 사항 중 설립목적은 매우 중요한 사항으로서, 이사의 책임사항 및 업무집행범위를 결정하는 기준이 되고 「부가가치세법」에 따라 주식회사에 부과되는 세금을 결정짓는 표준이 되므로, 주식회사 설립시에 목적사항을 정확하게 기재해야 합니다. ◇ 회사의 설립목적 정하기 ☞ 회사의 설립목적은 회사의 존재이유 또는 수행하려는 사업에 관한 것입니다. 발기인은 정관을 작성할 때 회사의 목적을 반드시 정해야 합니다. ◇ 회사 설립목적의 중요성 ☞ 이사가 고의 또는 과실로 정관을 위반할 경우에는 손해배상책임을 부담하고, 직무에 관하여 정관을 위반한 중대한 사실이 있으면 해임사유가 되며, 정관에 위반한 행위로 회복할 수 없는 손해가 생길 염려가 있는 경우에는 유지청구권을 행사할 수 있는 근거가 되므로, 회사의 설립목적은 회사의 업무를 수행해야 할 이사의 업무집행범위를 결정하는 기준이 됩니다. ☞ 또한 「부가가치세법」에 따른 재화나 용역을 공급하는 사업의 구분은 「한국표준산업분류」에 따르므로, 한국표준산업분류에서 정하는 사업목적에 따라 주식회사에 부과되는 세금이 다를 수 있습니다. 따라서 회사설립의 목적은 정확하게 기재하는 것이 좋습니다. ※ 통계청 홈페이지에서 한국표준산업분류표를 클릭하고 → 검색 → 분류내용보기를 확인하시면, 업종에 대한 분류와 설명을 확인할 수 있으며, 이를 참고하여 사업의 목적사항을 기재하면 됩니다."
"요즘 유행하고 있는 친환경ㆍ유기농 A피자와 비슷한 컨셉으로 프랜차이즈 형태의 피자 주식회사를 만들어 보려고 하는데요, 주식회사의 상호를 결정할 때 A피자의 상호와 비슷하게 만들어도 상관없나요?","사업, 협동조합 설립·운영","주식회사의 상호를 결정할 때에는 부정한 목적으로 다른 사람의 영업으로 오인할 수 있는 상호를 사용해서는 안 됩니다. 또한 국내에 널리 인식된 타인의 상호와 유사한 상호를 사용해 타인의 영업상의 시설 또는 활동과 혼동하게 하는 행위를 하면 「부정경쟁방지 및 영업비밀보호에 관한 법률」에 따른 부정경쟁행위가 되어 손해배상책임을 부담하거나 징역 또는 벌금형에 처해질 수도 있습니다. ◇ 주식회사의 상호 결정시 유의사항 ☞ 주식회사의 이름을 상호라고 합니다. 주식회사의 상호는 원칙적으로 자유롭게 정할 수 있지만, 부정한 목적으로 다른 사람의 영업으로 오인할 수 있는 상호를 사용하면 안 됩니다. 이를 위반한 자에게는 200만원 이하의 과태료가 부과됩니다. ☞ 이 때 '부정한 목적'이란 어느 명칭을 자기의 상호로 사용함으로써 일반인으로 하여금 자기의 영업을 그 명칭에 의하여 표시된 타인의 영업으로 오인시키려고 하는 의도를 말합니다(대법원 2004. 3. 26. 선고 2001다72081 판결). ☞ 한편, 「부정경쟁방지 및 영업비밀보호에 관한 법률」에서는 국내에 널리 인식된 타인의 상호 등과 동일하거나 유사한 것을 사용하여 타인의 영업상의 시설 또는 활동과 혼동하게 하는 행위를 부정경쟁행위로 보아 이를 금지하고 있으며, 고의 또는 과실에 의한 부정경쟁행위로 타인의 영업상 이익을 침해하여 손해를 입힌 자는 그 손해를 배상할 책임을 부담하며, 부정경쟁행위를 한 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해집니다."
"합명회사 형태로 지인들과 택시회사를 운영하던 중에 다른 일을 해보려고 회사에서 퇴사하려고 합니다. 합명회사 퇴사원은 일정기간 동안 책임을 부담해야 한다고 하던데, 어떤 책임을 부담하나요?","사업, 협동조합 설립·운영","퇴사한 사원은 본점소재지에서 퇴사등기를 하기 전에 생긴 회사채무에 대하여는 등기후 2년내에는 다른 사원과 동일한 책임이 있습니다. ◇ 사원의 퇴사 ☞ 사원의 퇴사란 회사의 존속 중에 특정 사원이 사원자격을 상실한 경우를 말합니다. ◇ 사원의 퇴사원인 ☞ 사원이 퇴사하는 사유로는 ① 부득이한 사유가 있는 경우 하는 임의퇴사, ② 정관에서 정한 사유가 발행사거나, 총사원의 동의, 사망, 성년후견개시, 파산, 제명 등 「상법」상 퇴사원인에 따른 당연퇴사, ③ 출자의무 등을 이행하지 않아 사원의 청구에 의해 법원이 제명하는 강제퇴사, ④ 지분압류채권자에 의한 퇴사가 있습니다. ◇ 퇴사원에 대한 지분의 환급과 책임 범위 ☞ 퇴사한 사원은 노무 또는 신용을 출자의 목적으로 한 경우에도 그 지분의 환급을 받을 수 있습니다. 그러나 정관에 다른 규정이 있는 때에는 그렇지 않습니다. ☞ 퇴사한 사원은 본점소재지에서 퇴사등기를 하기 전에 생긴 회사채무에 대하여는 등기후 2년내에는 다른 사원과 동일한 책임이 있으며, 지분을 양도한 사원의 경우에도 동일한 책임을 집니다."
"현재 합명회사 형태로 작은 전통한과제조 사업을 하고 있습니다. 사업을 확장하기 위해서 유한책임을 부담하는 사람도 회사에 가입할 수 있도록 합자회사 형태로 회사를 바꾸려고 하는데, 어떻게 하면 되나요?","사업, 협동조합 설립·운영","합명회사가 합자회사로 조직을 변경하려면 총사원의 동의로 일부사원을 유한책임사원으로 하거나 유한책임사원을 가입시켜야 합니다. 합자회사로 변경 후에는 합자회사의 정관내용을 정하고, 어느 사원이 무한책임(無限責任)사원인지, 유한책임사원인지를 기재해야 합니다. ◇ 합명회사의 조직변경 ☞ 회사가 법인격의 동일성을 유지하면서 그 법률상의 조직을 변경하여 다른 종류의 「상법」상의 회사로 변경하는 것을 조직변경이라 합니다. ☞ 합명회사는 총사원의 동의로 일부사원을 유한책임사원으로 하거나 유한책임사원을 새로 가입시켜서 합자회사로 변경할 수 있습니다. ◇ 합자회사로의 조직변경 절차 ☞ 합명회사가 합자회사로 조직을 변경하려면 총사원의 동의로 일부사원을 유한책임사원으로 하거나 유한책임사원을 가입시켜야 합니다. ☞ 합자회사로 조직변경결의를 하는 경우 변경 후의 합자회사의 정관내용을 정하고, 어느 사원이 무한책임(無限責任)사원인지, 유한책임사원인지를 기재해야 합니다. ☞ 합명회사를 합자회사로 변경한 때에는 본점소재지에서는 2주간내, 지점소재지에서는 3주간내에 합명회사에 있어서는 해산등기, 합자회사에 있어서는 설립등기를 하여야 합니다."
새로 매입한 건물의 옥상에 옥상간판을 설치하여 옥외광고사업을 하려고 합니다. 건물이 소재한 지역이 전용주거지역이라고 하는데 설치가 가능할까요?,"사업, 협동조합 설립·운영","「국토의 계획 및 이용에 관한 법률」에 따른 전용주거지역에서는 옥상간판과 같은 형태의 옥외광고물 및 게시시설을 표시하거나 설치해서는 안 됩니다. ◇ 광고물 등의 표시 설치가 금지되는 지역, 장소 ☞ 「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률」 제3조제1항 각 호의 지역 장소 물건 중 아름다운 경관과 미풍양속을 보존하고 공중에 대한 위해를 방지하며 건강하고 쾌적한 생활환경을 조성하기 위하여 다음의 지역 장소 또는 물건에는 옥외광고물 및 게시시설(이하 “광고물 등”이라 함)을 표시하거나 설치해서는 안됩니다. 「국토의 계획 및 이용에 관한 법률」에 따른 전용주거지역 일반주거지역 녹지지역 및 중요시설물보호지구등 「국토의 계획 및 이용에 관한 법률」에 따른 경관지구 및 보호지구 중 특별시장 광역시장 특별자치시장 도지사 또는 특별자치도지사가 시 도 심의위원회의 심의를 거쳐 고시한 지역 「자연공원법」에 따른 공원자연보존지구 및 공원자연환경지구 「하천법」에 따른 하천 「공유수면 관리 및 매립에 관한 법률」에 따른 공유수면 「산림보호법」에 따른 산림보호구역 「자연환경보전법」에 따른 생태 경관보전지역 및 자연유보지역 「문화재보호법」에 따른 지정문화재 및 보호구역 관공서 학교 도서관 박물관, 「의료법」에 따른 병원급 의료기관, 공회당 사찰 교회 및 그 부속시설 화장장 장례식장 및 묘지 「국토의 계획 및 이용에 관한 법률」에 따른 도시지역 외의 지역의 고속국도 일반국도 지방도 군도의 도로경계선 및 철도 고속철도의 철도경계선으로부터 수평거리 500미터 이내의 지역(다만, 10대 이상의 대형승합자동차가 한꺼번에 주차할 수 있는 시설을 갖춘 휴게소..."
퇴근길 회사 앞 골목에서 음란하고 저속한 사진과 핸드폰 전화번호만 인쇄된 유흥업소 전단지를 나눠주는 걸 받은 적이 있습니다. 이런 전단지를 나눠 주는 건 불법아닌가요?,"사업, 협동조합 설립·운영","음란하거나 퇴폐적인 내용 등으로 미풍양속을 해칠 우려가 있는 전단지는 제작과 표시 배포가 금지됩니다. 이런 광고물을 제작 표시한 자는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해지며, 광고물에 기재된 번호의 핸드폰 사용이 정지될 수 있습니다. ◇ 표시가 금지되는 광고물의 내용 ☞ 누구든지 광고물에 다음의 어느 하나에 해당하는 내용을 표시해서는 안 됩니다. 1. 범죄행위를 정당화하거나 잔인하게 표현하는 것 2. 음란하거나 퇴폐적인 내용 등으로 미풍양속을 해칠 우려가 있는 것(제작도 금지됨) 3. 청소년의 보호 선도를 방해할 우려가 있는 것(제작도 금지됨) 4. 다음 사행산업의 광고물로서 사행심을 부추기는 것 구분 내용 복권 「복권 및 복권기금법」에 따른 복권 체육진흥투표권 「국민체육진흥법」에 따른 체육진흥투표권 소싸움경기 「전통 소싸움경기에 관한 법률」에 따른 소싸움경기 5. 인종차별적 또는 성차별적 내용으로 인권침해의 우려가 있는 것 6. 그 밖에 다른 법령에서 광고를 금지한 것 ◇ 위반 시 제재 ☞ 음란하거나 퇴폐적인 내용 등으로 미풍양속을 해칠 우려가 있는 광고물을 제작 표시한 자는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해집니다. ☞ 또한 이러한 광고물에 대해서는 정보통신서비스 제공자에게 해당 전화번호에 대한 전기통신서비스 이용의 정지를 요청할 수 있습니다."
"저희 고등학교 축제가 얼마 남지 않아 학교 주변에 안내문을 게시하려고 하는데요, 이런 안내문도 신고나 허가를 받고 게시해야 하나요?","사업, 협동조합 설립·운영","비영리 목적으로서 학교행사를 위해 설치 표시하는 광고물은 30일 이내에서 허가나 신고 없이 게시할 수 있습니다. ◇ 지역, 장소, 물건에 대한 제한 및 허가, 신고 없이 표시 설치가 가능한 광고물 등 ☞ 표시 설치 기간이 30일 이내인 비영리 목적의 광고물 등이 다음의 어느 하나에 해당하면 허가 신고에 관한 「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률」 제3조 및 금지 또는 제한 등에 관한 같은 법 제4조를 적용하지 않습니다. 이 경우 3.의 경우에는 표시 설치 기간이 30일을 초과하는 광고물 등도 포함합니다. 1. 관혼상제 등을 위하여 표시 설치하는 경우 2. 학교행사나 종교의식을 위하여 표시 설치하는 경우 3. 시설물의 보호 관리를 위하여 표시 설치하는 경우 4. 단체나 개인이 적법한 정치활동을 위한 행사 또는 집회 등에 사용하기 위하여 표시 설치하는 경우 5. 단체나 개인이 적법한 노동운동을 위한 행사 또는 집회 등에 사용하기 위하여 표시 설치하는 경우 6. 안전사고 예방, 교통 안내, 긴급사고 안내, 미아 찾기, 교통사고 목격자 찾기 등을 위하여 표시 설치하는 경우 7. 「선거관리위원회법」에 따른 각급선거관리위원회의 선거, 국민투표, 주민투표(주민소환투표를 포함)에 관한 계도 및 홍보를 위하여 표시 설치하는 경우 8. 정당이 「정당법」 제37조제2항에 따른 통상적인 정당활동으로 보장되는 정당의 정책이나 정치적 현안에 대하여 표시 설치하는 경우(다만, 현수막의 표시 방법 및 기간은 「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령」으로 정함"
"새로 창업한 인터넷쇼핑몰을 홍보하기 위해 제 소유의 자동차에 스티커 형태의 광고물을 부착하려고 하는데요, 가능한가요?","사업, 협동조합 설립·운영","자기가 소유하는 자동차 외부의 창문 부분을 제외한 본체 옆면에 표시하는 방법으로 가능합니다. 소유자의 성명 명칭 주소 업소명 전화번호, 자기의 상표 또는 상징형 도안만 표시할 수 있으며, 표시면적은 각 면(창문 부분은 제외) 면적의 2분의 1 이내여야 합니다. ◇ 교통수단 외부에 광고물을 부착하는 방법 ☞ 자기가 소유하는 자동차 및 덤프트럭 외부에는 다음의 기준에 따라 광고물을 표시해야 합니다. 1. 외부의 창문 부분을 제외한 본체 옆면에 표시해야 합니다. 2. 소유자의 성명 명칭 주소 업소명 전화번호, 자기의 상표 또는 상징형 도안만 표시할 수 있습니다. 3. 표시면적은 각 면(창문 부분은 제외) 면적의 2분의 1 이내여야 합니다. ◇ 교통수단이용 광고 시 준수사항 ☞ 교통수단 이용 광고물(영업 중인 음식판매자동차에 표시하는 광고물은 제외)에는 전기를 사용하거나 발광방식의 조명을 해서는 안 되며, 보행자 및 차량의 통행에 방해가 되지 않도록 광고물을 밀착하여 붙여야 합니다. ◇ 위반 시 제재 ☞ 이를 위반해서 광고물을 표시하거나 설치하면 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다."
"그동안 사용하던 간판을 네온류를 사용하는 간판으로 바꾸려고 하는데, 별다른 제한 없이 표시가 가능한가요?","사업, 협동조합 설립·운영","전용주거지역, 일반주거지역 또는 시설보호지구 중 조례로 정하는 일정한 지역에서는 네온류를 사용할 수 없으며, 차량의 진행에 방해가 되는 경우 또는 교통신호기 등과 유사한 광고물의 경우에는 일정한 제한이 따릅니다. ◇ 네온류 사용 시 표시방법 ☞ 광고물 등에 네온류를 사용하는 경우에는 다음의 기준에 따라 표시하되, 공공시설물 이용 광고물에 대해서는 아래 3. 및 4.의 기준을 적용하지 않습니다. 1. 「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령」 제24조제2항 각 호의 광고물 등을 표시하는 경우에도 「국토의 계획 및 이용에 관한 법률」에 따른 전용주거지역 일반주거지역(너비 15미터 이상의 도로변은 제외) 또는 상업지역이 아닌 지역에서 지정된 중요시설물보호지구 교육환경 보호를 위한 특정용도제한지구(이하 “중요시설물보호지구등”으로 함)에서는 사용할 수 없습니다. 다만, 다음의 어느 하나에 해당하는 경우는 예외로 합니다. √ 의료기관 또는 약국에 표시하는 경우 √ 광원이 직접 노출되지 않도록 덮개를 씌워 표시하는 경우로서 빛이 점멸하지 않고 동영상 변화가 없는 경우 2. 시 도지사가 주거환경 등의 보장을 위하여 위 1.의 전용주거지역, 일반주거지역, 중요시설물보호지구등과 이웃한 지역 중 시 도 조례로 정하는 바에 따라 시 도 심의위원회의 심의를 거쳐 고시한 지역에서는 네온류를 사용할 수 없습니다. 3. 빛이 점멸하거나 동영상 변화가 있는 광고물을 도로와 잇닿은 장소에 차량의 진행방향 정면으로 표시하는 경우에는 그 광고물의 아랫부분까지의 높이는 지면으로부터 10미터 이상이어야 합니다. 4. 교통신호기로부터 보이는 직선거리 30미터 이내의 지역에는 빛이..."
건물 옥상에 설치한 옥상간판의 위치를 변경하는 경우에도 안전점검을 받아야 하나요?,"사업, 협동조합 설립·운영","허가 또는 신고를 하고 설치한 옥상간판(옥상바닥으로부터 윗부분까지의 높이가 4미터 미만인 볼링핀 모형의 간판 또는 게시시설 없이 옥상구조물에 직접 도료나 입체형으로 표시하는 간판의 경우는 제외)의 장소를 변경하는 경우 변경일부터 15일 이내에 안전점검을 받아야 합니다. ◇ 안전점검 대상 광고물, 시기 및 방법 ☞ 옥상간판(옥상바닥으로부터 윗부분까지의 높이가 4미터 미만인 볼링핀 모형의 간판 또는 게시시설 없이 옥상구조물에 직접 도료나 입체형으로 표시하는 간판의 경우는 제외)의 규격 사용자재 위치 또는 장소를 변경한 경우 공중에 대한 위해방지를 위하여 표시 또는 변경일부터 15일 이내 특별자치도지사 시장 군수 또는 구청장(이하 “시장 등”이라 함)이 실시하는 안전점검을 받아야 합니다. ◇ 위반에 대한 조치 등 ☞ 광고물 등의 제거나 그 밖의 필요한 조치 안전점검에 합격하지 못한 광고물 등을 표시하거나 설치한 자, 그 광고물 등을 관리하는 자, 광고주, 옥외광고업자, 그 광고물 등의 표시 설치를 승낙한 토지 건물 등의 소유자 또는 관리자는 시장 등으로부터 그 광고물 등의 제거나 그 밖에 필요한 조치를 명령받게 됩니다. ☞ 이행강제금의 부과 시장 등은 위 명령을 받은 후 그 조치 기간 내에 이를 이행하지 않은 소유자 또는 관리자(입간판 현수막 벽보 전단의 소유자 또는 관리자는 제외)에 대해서는 이행강제금을 부과 징수할 수 있습니다."
"조명장치를 만드는 공장을 설립하기 위해 공장설립승인을 받아 공장건축을 준비하고 있었는데요. 얼마 전, 공장 설립계획의 승인을 받으면 중소기업 창업 혜택을 받을 수 있다는 이야기를 듣고 공장 설립계획의 승인을 받아 공장을 설립하기로 사업계획을 변경하였습니다. 이미 공장설립승인을 받으려고 너무 고생을 했는데, 지금 받은 공장설립승인을 공장 설립계획의 승인으로 변경하여 공장을 설립할 수는 없을까요?","사업, 협동조합 설립·운영","☞ 불가능할 것으로 보입니다. 「산업집적활성화 및 공장설립에 관한 법률」에 따른 공장설립승인과 「중소기업창업 지원법」에서 정하고 있는 공장 설립계획의 승인은 서로 다른 요건을 필요로 하는 절차입니다. 그러므로 이들을 상호 간에 대체하도록 하는 제도는 없습니다. 따라서 이미 받은 공장설립승인은 취하(取下)하고 다시 공장 설립계획의 승인을 받아야 합니다. ◇ 공장설립 등의 승인 ☞ 공장건축면적이 500제곱미터 이상인 공장의 신설 증설 또는 업종변경을 하려는 경우에는 특별자치시장, 특별자치도지사 또는 시장 군수 구청장의 승인을 받아야 합니다. 공장건축면적 500제곱미터 미만인 공장의 경우에도 허가 신고 면허 승인 해제 또는 용도폐지 등의 의제(擬制)를 받으려는 자는 공장설립의 승인을 받을 수 있습니다 ◇ 공장 설립계획의 승인 ☞ 중소기업 창업자는 공장 설립계획을 작성하고, 이에 대해 특별시장 광역시장 특별자치시장 또는 시장 군수 구청장의 승인을 받아 사업을 할 수 있습니다."
